date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:02:10	78856/78856	---M--	200	added ('OK')	image/jpeg	etag:W/%224e328b860c4a36c5f393c0cb6319e1ea%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/56582513e4b0c377c457f95a/1448617236993/12011389_1615146635401306_2111296049188621117_n.jpg	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/56582513e4b0c377c457f95a/1448617236993/12011389_1615146635401306_2111296049188621117_n.jpg	(from http://www.dilseeducationfoundation.org/)
13:02:22	100541/100541	---M--	200	added ('OK')	image/jpeg	etag:W/%2213bfa06bd4dce741f67a98f22be88070%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/56582518e4b0c377c457f972/1448617242878/12027290_1615047235411246_5658254673217723882_o.jpg	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/56582518e4b0c377c457f972/1448617242878/12027290_1615047235411246_5658254673217723882_o.jpg	(from http://www.dilseeducationfoundation.org/)
13:02:22	106597/106597	---M--	200	added ('OK')	image/jpeg	etag:W/%22db45c1c19d1e0728c39d8c1f4e88ad21%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/56582515e4b0c668da556c80/1448617243349/12017626_1615146782067958_3775811971884956181_o.jpg	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/56582515e4b0c668da556c80/1448617243349/12017626_1615146782067958_3775811971884956181_o.jpg	(from http://www.dilseeducationfoundation.org/)
13:02:24	89873/89873	---M--	200	added ('OK')	image/jpeg	etag:W/%22ba4b23e19cdeaa9222e1b6065dc8a08a%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/5658251ae4b06b23bf1b3b97/1448617243419/12042904_1615146885401281_1029953596680180783_n.jpg	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/5658251ae4b06b23bf1b3b97/1448617243419/12042904_1615146885401281_1029953596680180783_n.jpg	(from http://www.dilseeducationfoundation.org/)
13:02:24	132026/132026	---M--	200	added ('OK')	image/jpeg	etag:W/%22766d65e9ec6a5c78f8cd1d53f6a561c1%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/56582515e4b0fad364e2b11e/1448617240288/12011393_1615146655401304_3495801832651136634_n.jpg	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/56582515e4b0fad364e2b11e/1448617240288/12011393_1615146655401304_3495801832651136634_n.jpg	(from http://www.dilseeducationfoundation.org/)
13:02:36	73074/73074	---M--	200	added ('OK')	image/jpeg	etag:W/%22628bca2dc8744e41960cada76644e75c%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/5658251be4b06b23bf1b3b9a/1448617247462/12183793_1623865027862800_8694656658637549315_o.jpg	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/5658251be4b06b23bf1b3b9a/1448617247462/12183793_1623865027862800_8694656658637549315_o.jpg	(from http://www.dilseeducationfoundation.org/)
13:02:38	94745/94745	---M--	200	added ('OK')	image/jpeg	etag:W/%229a27387d0f5d01af29d6e4e835eadc99%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/5658251ae4b0c668da556c96/1448617243646/12049246_1615146522067984_3340013840918158749_n.jpg	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/5658251ae4b0c668da556c96/1448617243646/12049246_1615146522067984_3340013840918158749_n.jpg	(from http://www.dilseeducationfoundation.org/)
13:02:45	122827/122827	---M--	200	added ('OK')	image/jpeg	etag:W/%22227e36b2e7c8a2ea991b4c3c23965f4e%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/5658251ce4b0c668da556c98/1448617248556/12185397_1623865761196060_6948188914637161808_o.jpg	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/5658251ce4b0c668da556c98/1448617248556/12185397_1623865761196060_6948188914637161808_o.jpg	(from http://www.dilseeducationfoundation.org/)
13:02:56	122879/122879	---M--	200	added ('OK')	image/jpeg	etag:W/%2203548356bd573175587061697860b96a%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/5658251ee4b0c377c457f997/1448617252018/donate.jpg	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/5658251ee4b0c377c457f997/1448617252018/donate.jpg	(from http://www.dilseeducationfoundation.org/)
13:02:57	111226/111226	---M--	200	added ('OK')	image/jpeg	etag:W/%222a9c167130a964fd27bea8f9662e2fa1%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/56582520e4b08c62b9d199b6/1448617255840/Join+our+Day+of+Action+Program.jpg	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/56582520e4b08c62b9d199b6/1448617255840/Join+our+Day+of+Action+Program.jpg	(from http://www.dilseeducationfoundation.org/)
13:03:59	607929/607929	---M--	200	added ('OK')	image/jpeg	etag:W/%2206d7f71bab6b31a7afa071d9d9e393e0%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575beada22482ea137066be8/1465641715600/New2_Pic_1.jpg	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575beada22482ea137066be8/1465641715600/New2_Pic_1.jpg	(from http://www.dilseeducationfoundation.org/)
13:04:19	581758/581758	---M--	200	added ('OK')	image/jpeg	etag:W/%22649013049cd9a12884b9e6d362365f02%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be8d322482ea1370667f7/1465641220210/DSC_0132.JPG	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be8d322482ea1370667f7/1465641220210/DSC_0132.jpg	(from http://www.dilseeducationfoundation.org/)
13:04:28	564971/564971	---M--	200	added ('OK')	image/jpeg	etag:W/%22ada61fe7c188b212f6e429e0b52a20b5%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be8d359827eb21b7155fd/1465641210311/DSC_0135.JPG	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be8d359827eb21b7155fd/1465641210311/DSC_0135.jpg	(from http://www.dilseeducationfoundation.org/)
13:04:33	593229/593229	---M--	200	added ('OK')	image/jpeg	etag:W/%22406958a73764014ef779d0997d7c96ef%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be8f659827eb21b715623/1465641246574/DSC_0144.JPG	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be8f659827eb21b715623/1465641246574/DSC_0144.jpg	(from http://www.dilseeducationfoundation.org/)
13:05:55	714060/714060	---M--	200	added ('OK')	image/jpeg	etag:W/%22159d0de006b2a45c3f1bae369244bbcc%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be90022482ea137066855/1465641285731/DSC_0148.JPG	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be90022482ea137066855/1465641285731/DSC_0148.jpg	(from http://www.dilseeducationfoundation.org/)
13:06:14	710115/710115	---M--	200	added ('OK')	image/jpeg	etag:W/%2239ed1ec5dd42600a8ecac90fc169ec95%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be91b59827eb21b715695/1465641298511/DSC_0149.JPG	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be91b59827eb21b715695/1465641298511/DSC_0149.jpg	(from http://www.dilseeducationfoundation.org/)
13:06:19	687622/687622	---M--	200	added ('OK')	image/jpeg	etag:W/%2225eab2150d002ccedabd550e3d4c0fcd%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be94022482ea1370668df/1465641340027/DSC_0151.JPG	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be94022482ea1370668df/1465641340027/DSC_0151.jpg	(from http://www.dilseeducationfoundation.org/)
13:06:31	723915/723915	---M--	200	added ('OK')	image/jpeg	etag:W/%221030eb08f1c35cd5bebf031b4b33a748%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575beaf022482ea137066c08/1465641748022/New2_Pic_4.jpg	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575beaf022482ea137066c08/1465641748022/New2_Pic_4.jpg	(from http://www.dilseeducationfoundation.org/)
13:07:39	642932/642932	---M--	200	added ('OK')	image/jpeg	etag:W/%2205ae1eaa2d6a43175262962bd7d3c760%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be94d59827eb21b71570a/1465641330590/DSC_0164.JPG	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be94d59827eb21b71570a/1465641330590/DSC_0164.jpg	(from http://www.dilseeducationfoundation.org/)
13:07:44	522871/522871	---M--	200	added ('OK')	image/jpeg	etag:W/%222f5b9162d18156ac88b51206768abe9c%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be97822482ea137066957/1465641376697/DSC_0169.JPG	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be97822482ea137066957/1465641376697/DSC_0169.jpg	(from http://www.dilseeducationfoundation.org/)
13:07:50	488714/488714	---M--	200	added ('OK')	image/jpeg	etag:W/%221b9d4b497bf2cdf65378827453bc575e%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575bea1e59827eb21b7158b6/1465641539499/DSC_0261.JPG	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575bea1e59827eb21b7158b6/1465641539499/DSC_0261.jpg	(from http://www.dilseeducationfoundation.org/)
13:08:01	660444/660444	---M--	200	added ('OK')	image/jpeg	etag:W/%22e6244104cccf2489e856edfb3c31f143%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be96e59827eb21b71574d/1465641373177/DSC_0165.JPG	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/575be96e59827eb21b71574d/1465641373177/DSC_0165.jpg	(from http://www.dilseeducationfoundation.org/)
